weekday;class_id;start_hour;end_hour;desc
# IA
Lx;ia;15:00;15:50;"
https://meet.google.com/iig-sbwa-kdn?pli=1&authuser=1
https://meet.google.com/xzt-imof-jsw?pli=1&authuser=1"
Lx;ia;16:00;16:50;"
https://meet.google.com/iig-sbwa-kdn?pli=1&authuser=1
https://meet.google.com/xzt-imof-jsw?pli=1&authuser=1"
Xx;ia;17:00;17:50;"
https://meet.google.com/iig-sbwa-kdn?pli=1&authuser=1
https://meet.google.com/xzt-imof-jsw?pli=1&authuser=1"

#Sist Inf
Mx;sist_inf;15:00;15:50;"
https://meet.google.com/tqk-zssa-pmp?pli=1&authuser=1"
Mx;sist_inf;16:00;16:50;"
https://meet.google.com/tqk-zssa-pmp?pli=1&authuser=1"
Xx;sist_inf;18:00;18:50;"
https://meet.google.com/tqk-zssa-pmp?pli=1&authuser=1"

#SSDD
Jx;sist_inf;15:00;15:50;"
- Google Meet (Rafa) https://meet.google.com/tqk-zssa-pmp?pli=1&authuser=1
- Microsoft Teams (Rafa): https://teams.microsoft.com/dl/launcher/launcher.html?url=%2F_%23%2Fl%2Fmeetup-join%2F19%3A3ec116dc5a8941eda39f8e8c4d831ae1%40thread.tacv2%2F1601481330986%3Fcontext%3D%257B%2522Tid%2522%253A%25223f227dba-f3f4-4544-b314-c6efd30e0d00%2522%252C%2522Oid%2522%253A%25226f6be409-9319-4b90-a817-7e05df5b1ce9%2522%257D%26anon%3Dtrue&type=meetup-join&deeplinkId=4803e452-eae3-424c-b262-40878a17fa57&directDl=true&msLaunch=true&enableMobilePage=true&suppressPrompt=true
- Google Meet (Unai): https://meet.google.com/ijq-umtk-ewp?pli=1&authuser=1"
Jx;sist_inf;16:00;16:50;"
- Google Meet (Rafa) https://meet.google.com/tqk-zssa-pmp?pli=1&authuser=1
- Microsoft Teams (Rafa): https://teams.microsoft.com/dl/launcher/launcher.html?url=%2F_%23%2Fl%2Fmeetup-join%2F19%3A3ec116dc5a8941eda39f8e8c4d831ae1%40thread.tacv2%2F1601481330986%3Fcontext%3D%257B%2522Tid%2522%253A%25223f227dba-f3f4-4544-b314-c6efd30e0d00%2522%252C%2522Oid%2522%253A%25226f6be409-9319-4b90-a817-7e05df5b1ce9%2522%257D%26anon%3Dtrue&type=meetup-join&deeplinkId=4803e452-eae3-424c-b262-40878a17fa57&directDl=true&msLaunch=true&enableMobilePage=true&suppressPrompt=true
- Google Meet (Unai): https://meet.google.com/ijq-umtk-ewp?pli=1&authuser=1"

#Ing Soft
Xx;ing_soft;15:00;15:50;"
https://meet.google.com/hdj-whng-oqw?pli=1&authuser=1"
Xx;ing_soft;16:00;16:50;"
https://meet.google.com/hdj-whng-oqw?pli=1&authuser=1"
